card_id,title,model,max_head_m,max_flow_original,max_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
bx_40480796_44406_52eccb44ded0bb34f72b273e9a62ef02,Скважинный погружной насос Sumoto OPC 4SR10/24 (380в),OPC 4SR10/24 (380в),134,14.46 м³/ч,241,380,4,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_10_24_380v/,needs_check
bx_40480796_44404_d0a71590b973eacbff1119c73534decd,Скважинный погружной насос Sumoto OPC 4SR8/23 (380в),OPC 4SR8/23 (380в),143,12.05 м³/ч,200.83,380,4,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_8_23_380v/,needs_check
bx_40480796_44397_cdd13bd5ae7b0c257424b2a019fe9c7f,Скважинный погружной насос Sumoto OPC 4SR4/35 (380в),OPC 4SR4/35 (380в),230,6.02 м³/ч,100.33,380,3,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_4_35_380v/,needs_check
bx_40480796_44408_f342bcc33e6b8f41085bb8fa088a5e19,Скважинный погружной насос Sumoto OPC 4SR12/26 (380в),OPC 4SR12/26 (380в),158,16.27 м³/ч,271.17,380,5.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_12_26_380v/,needs_check
bx_40480796_44402_cb72134bda597e13adfc49a01db10c36,Скважинный погружной насос Sumoto OPC 4SR6/36 (380в),OPC 4SR6/36 (380в),216,9.64 м³/ч,160.67,380,4,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_6_36_380v/,needs_check
bx_40480796_44407_405fa73eaca4835adf3c57f863defee8,Скважинный погружной насос Sumoto OPC 4SR10/32 (380в),OPC 4SR10/32 (380в),179,14.46 м³/ч,241,380,5.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_10_32_380v/,needs_check
bx_40480796_44405_2d557ec58433dd4c903e3a05b652ad3b,Скважинный погружной насос Sumoto OPC 4SR8/32 (380в),OPC 4SR8/32 (380в),200,12.05 м³/ч,200.83,380,5.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_8_32_380v/,needs_check
bx_40480796_44398_7336ecc1cc9fc29bbd635a38db819ae7,Скважинный погружной насос Sumoto OPC 4SR4/46 (380в),OPC 4SR4/46 (380в),308,6.02 м³/ч,100.33,380,4,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_4_46_380v/,needs_check
bx_40480796_44410_17b16917a6b5115092ad464bbbd08140,Скважинный погружной насос Sumoto OPC 4SR8/43 (380в),OPC 4SR8/43 (380в),262,12.05 м³/ч,200.83,380,7.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_8_43_380v/,needs_check
bx_40480796_44399_bcdd4f2daf1f375f7393bdaabb43c42c,Скважинный погружной насос Sumoto OPC 4SR4/60 (380в),OPC 4SR4/60 (380в),405,6.02 м³/ч,100.33,380,5.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_4_60_380v/,needs_check
bx_40480796_44409_ceff6ff2fb7e75cfd3194733fb4b61ca,Скважинный погружной насос Sumoto OPC 4SR8/41 (380в),OPC 4SR8/41 (380в),262,12.05 м³/ч,200.83,380,7.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_8_41_380v/,needs_check
bx_40480796_44403_4d476843507a14967898846b3d9dcc46,Скважинный погружной насос Sumoto OPC 4SR6/49 (380в),OPC 4SR6/49 (380в),294,9.64 м³/ч,160.67,380,5.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_6_49_380v/,needs_check
bx_40480796_44412_52eccb44ded0bb34f72b273e9a62ef02,Скважинный погружной насос Sumoto OPC 4SR12/33 (380в),OPC 4SR12/33 (380в),170,16.27 м³/ч,271.17,380,7.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_12_33_380v/,needs_check
bx_40480796_44411_d0a71590b973eacbff1119c73534decd,Скважинный погружной насос Sumoto OPC 4SR10/39 (380в),OPC 4SR10/39 (380в),270,14.46 м³/ч,241,380,7.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_10_39_380v/,needs_check
bx_40480796_46316_cdd13bd5ae7b0c257424b2a019fe9c7f,Скважинный погружной насос Sumoto 6OPC18/11 (380в),6OPC18/11 (380в),162,27.11 м³/ч,451.83,380,9.2,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6opc18_11_380v/,needs_check
bx_40480796_44413_f342bcc33e6b8f41085bb8fa088a5e19,Скважинный погружной насос Sumoto OPC 4SR16/30 (380в),OPC 4SR16/30 (380в),178,24.1 м³/ч,401.67,380,7.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sh_16_30_380v/,needs_check
bx_40480796_46314_cb72134bda597e13adfc49a01db10c36,Скважинный погружной насос Sumoto 6OPC30/9 (380в),6OPC30/9 (380в),128,40.18 м³/ч,669.67,380,9.2,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6opc30_9_380v/,needs_check
bx_40480796_44430_405fa73eaca4835adf3c57f863defee8,Скважинный погружной насос Sumoto 6OPC18/13 (380в),6OPC18/13 (380в),191,27.11 м³/ч,451.83,380,11,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6sh_18_13_380v/,needs_check
bx_40480796_44428_2d557ec58433dd4c903e3a05b652ad3b,Скважинный погружной насос Sumoto 6OPC30/11 (380в),6OPC30/11 (380в),156,40.18 м³/ч,669.67,380,11,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6sh_30_11_380v/,needs_check
bx_40480796_46313_7336ecc1cc9fc29bbd635a38db819ae7,Скважинный погружной насос Sumoto 6OPC30/13 (380в),6OPC30/13 (380в),185,40.18 м³/ч,669.67,380,13,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6opc30_13_380v/,needs_check
bx_40480796_44431_17b16917a6b5115092ad464bbbd08140,Скважинный погружной насос Sumoto 6OPC18/15 (380в),6OPC18/15 (380в),220,27.11 м³/ч,451.83,380,13,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6sh_18_15_380v/,needs_check
bx_40480796_46315_bcdd4f2daf1f375f7393bdaabb43c42c,Скважинный погружной насос Sumoto 6OPC30/15 (380в),6OPC30/15 (380в),213,40.18 м³/ч,669.67,380,15,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6opc30_15_380v/,needs_check
bx_40480796_44432_ceff6ff2fb7e75cfd3194733fb4b61ca,Скважинный погружной насос Sumoto 6OPC18/18 (380в),6OPC18/18 (380в),264,27.11 м³/ч,451.83,380,15,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6sh_18_18_380v/,needs_check
bx_40480796_44429_4d476843507a14967898846b3d9dcc46,Скважинный погружной насос Sumoto 6OPC30/18 (380в),6OPC30/18 (380в),255,40.18 м³/ч,669.67,380,18.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6sh_30_18_380v/,needs_check
bx_40480796_45562_52eccb44ded0bb34f72b273e9a62ef02,Скважинный погружной насос Sumoto 6OPC45/12 (380в),6OPC45/12 (380в),170,60.24 м³/ч,1004,380,22,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6opc45_11_380v/,needs_check
bx_40480796_45563_d0a71590b973eacbff1119c73534decd,Скважинный погружной насос Sumoto 6OPC45/14 (380в),6OPC45/14 (380в),200,60.24 м³/ч,1004,380,26,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_6opc45_14_380v/,needs_check
