title,model,series,max_head_m,nominal_head_m,max_flow_original,max_flow_l_min,nominal_flow_original,nominal_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
Погружной скважинный насос SUMOTO 4SRM8/13,4SRM8/13,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm8_13/,missing_data
Погружной скважинный насос SUMOTO 4SRM6/7,4SR6/7,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm6_7_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM6/20,4SR6/20,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm6_20_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM6/14,4SR6/14,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm6_14_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM6/10,4SRM6/10,4SR,,,,,,,,1.1,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm6_10__220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM4/9,4SRM4/9,4SR,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm4_9/,missing_data
Погружной скважинный насос SUMOTO 4SRM4/7,4SRM4/7,4SR,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm4_7/,missing_data
Погружной скважинный насос SUMOTO 4SRM4/14,4SRM4/14,4SR,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm4_14/,missing_data
Погружной скважинный насос SUMOTO 4SRM2/7,4SRM2/7,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm2_7_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM2/39,4SRM2/39,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm2_39_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM2/27,4SRM2/27,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm2_27_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM2/20,4SRM2/20,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm2_20_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM2/13,4SRM2/13,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm2_13_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM2/10,4SRM2/10,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm2_10_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM12/7,4SRM12/7,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm12_7_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM12/10,4SRM12/10,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm12_10__220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM10/7,4SRM10/7,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm10_7_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM10/14,4SRM10/14,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm10_14_220v/,missing_data
Погружной скважинный насос SUMOTO 4SRM10/10,4SRM10/10,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm10_10_220v/,missing_data
Погружной скважинный насос SUMOTO 4SR8/8,4SR8/8,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr8_8/,missing_data
Погружной скважинный насос SUMOTO 4SR8/6,4SR8/6,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr8_6/,missing_data
Погружной скважинный насос SUMOTO 4SR8/4,4SR8/4,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr8_4/,missing_data
Погружной скважинный насос SUMOTO 4SR8/21,4SR8/21,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr8_21/,missing_data
Погружной скважинный насос SUMOTO 4SR8/17,4SR8/17,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr8_17/,missing_data
Погружной скважинный насос SUMOTO 4SR8/13,4SR8/13,,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr8_13/,missing_data
Погружной скважинный насос SUMOTO 4SR6/7,4SR6/7,4SR,,,,,,,,0.75,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr6_7/,missing_data
Погружной скважинный насос SUMOTO 4SR6/20,4SR6/20,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr6_20/,missing_data
Погружной скважинный насос SUMOTO 4SR6/14,4SR6/14,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr6_14/,missing_data
Погружной скважинный насос SUMOTO 4SR6/10,4SRM6/10,4SR,,,,,,,,1.1,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr6_10/,missing_data
Погружной скважинный насос SUMOTO 4SR4/9,4SR4/26,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4sr4_9/,missing_data
