model,voltage,power_kw,max_head_m,max_flow_l_min,diameter_mm,diameter_raw,source,status
4SRM6/20,220,2.2,120,160,96,4SR heuristic,manual_table_4sr6,ok
4SRM6/27,220,3.0,162,160,96,4SR heuristic,manual_table_4sr6,ok
4SRM6/36,220,4.0,216,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/7,380,0.75,42,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/10,380,1.1,60,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/14,380,1.5,84,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/20,380,2.2,120,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/27,380,3.0,162,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/36,380,4.0,216,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/49,380,5.5,294,160,96,4SR heuristic,manual_table_4sr6,ok
4SR6/54,380,7.5,324,160,96,4SR heuristic,manual_table_4sr6,ok
4SRM8/4,220,0.75,25,200,96,4SR heuristic,manual_table_4sr8,ok
4SRM8/6,220,1.1,37,200,96,4SR heuristic,manual_table_4sr8,ok
4SRM8/8,220,1.5,80,200,96,4SR heuristic,manual_table_4sr8,ok
4SRM8/13,220,2.2,81,200,96,4SR heuristic,manual_table_4sr8,ok
4SRM8/17,220,3.0,106,200,96,4SR heuristic,manual_table_4sr8,ok
4SRM8/23,220,4.0,143,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/4,380,0.75,25,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/6,380,1.1,37,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/8,380,1.5,80,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/13,380,2.2,81,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/17,380,3.0,106,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/23,380,4.0,143,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/32,380,5.5,200,200,96,4SR heuristic,manual_table_4sr8,ok
4SR8/41,380,7.5,256,200,96,4SR heuristic,manual_table_4sr8,ok
4SRM12/7,220,1.5,42,270,96,4SR heuristic,manual_table_4sr12,ok
4SRM12/10,220,2.2,61,270,96,4SR heuristic,manual_table_4sr12,ok
4SRM12/14,220,3.0,85,270,96,4SR heuristic,manual_table_4sr12,ok
4SRM12/19,220,4.0,115,270,96,4SR heuristic,manual_table_4sr12,ok
4SR12/7,380,1.5,42,270,96,4SR heuristic,manual_table_4sr12,ok
4SR12/10,380,2.2,61,270,96,4SR heuristic,manual_table_4sr12,ok
4SR12/14,380,3.0,85,270,96,4SR heuristic,manual_table_4sr12,ok
4SR12/19,380,4.0,115,270,96,4SR heuristic,manual_table_4sr12,ok
4SR12/26,380,5.5,158,270,96,4SR heuristic,manual_table_4sr12,ok
4SR12/33,380,7.5,200,270,96,4SR heuristic,manual_table_4sr12,ok
3OPC1.8/7,220,0.18,30,45,76,3OPC heuristic,manual_table_3opc18,ok
3OPC1.8/10,220,0.25,42,45,76,3OPC heuristic,manual_table_3opc18,ok
3OPC1.8/14,220,0.37,59,45,76,3OPC heuristic,manual_table_3opc18,ok
